rounds,representation,model,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss,accuracy_std,roc_auc_std,true_negative_std,false_positive_std,false_negative_std,true_positive_std,true_positive_rate_std,true_negative_rate_std,balanced_accuracy_std,loss_std,effective_seed_count,num_seeds
7,joint,mlp,0.4923333333333333,0.4941318425532047,789.0,734.0,789.0,688.0,0.4658090724441435,0.5180564674983585,0.491932769971251,0.7349373493989309,0.0033333333333333,0.0001359208453898,6.0,6.0,16.0,16.0,0.010832769126608,0.0039395929087327,0.0034465881089376,0.0005697616736094,0,2
7,joint,siamese,0.5005,0.5075681126807148,773.5,749.5,749.0,728.0,0.4928909952606635,0.5078791858174656,0.5003850905390645,0.7490644298394522,0.0015,0.0059072777555256,85.5,85.5,90.0,90.0,0.0609343263371699,0.0561391989494419,0.002397563693864,0.0221905988852183,0,2
8,concat,cnn,0.498,0.4957724369287767,731.5,766.5,739.5,762.5,0.5076564580559254,0.4883177570093457,0.4979871075326356,0.7048280715942383,0.0083333333333333,0.0039366736651976,7.5,7.5,17.5,17.5,0.0116511318242343,0.0050066755674231,0.0083289036958287,0.0019141201972961,0,2
8,concat,mlp,0.4928333333333333,0.4920640970028391,714.5,783.5,738.0,764.0,0.5086551264980027,0.4769692923898531,0.4928122094439279,0.7368077292442321,0.0005,0.0002361115308649,15.5,15.5,14.0,14.0,0.0093209054593874,0.010347129506008,0.0005131120233102,0.0049099723498026,0,2
8,concat,siamese,0.5026666666666666,0.5117400208711482,649.0,849.0,643.0,859.0,0.5719041278295607,0.4332443257676902,0.5025742267986254,0.7356655500729878,0.0006666666666666,0.006629567341453,98.0,98.0,100.0,100.0,0.066577896138482,0.0654205607476635,0.0005786676954092,0.0178914670944213,0,2
8,delta,cnn,0.487,0.4835697485684419,865.0,633.0,906.0,596.0,0.3968042609853528,0.5774365821094793,0.4871204215474161,0.7057394098440806,0.003,0.0047551195646569,1.0,1.0,10.0,10.0,0.0066577896138481,0.0006675567423231,0.0029951164357625,0.0021619102954864,0,2
8,delta,mlp,0.489,0.491376651336269,729.5,768.5,764.5,737.5,0.4910119840213049,0.4869826435246995,0.4889973137730022,0.7035577076276143,0.0013333333333333,0.0037820067235674,72.5,72.5,76.5,76.5,0.0509320905459387,0.0483978638184245,0.001267113363757,0.000678469022115,0,2
8,delta,siamese,0.5085,0.5094916835407708,773.5,724.5,750.0,752.0,0.5006657789613849,0.516355140186916,0.5085104595741503,0.7046474444071451,0.0055,0.0054672319417456,7.5,7.5,9.0,9.0,0.0059920106524633,0.0050066755674232,0.0054993431099433,0.0005814340909322,0,2
8,delta_stats,cnn,0.4961666666666666,0.4986033308503659,620.0,878.0,633.5,868.5,0.5782290279627164,0.4138851802403204,0.4960571041015184,0.6955286990006764,0.0001666666666666,0.0004891119806435,225.0,225.0,224.5,224.5,0.1494673768308921,0.1502002670226969,0.0003664450959023,0.00023557416598,0,2
8,delta_stats,mlp,0.498,0.4986148864264647,766.5,731.5,774.5,727.5,0.4843541944074567,0.5116822429906542,0.4980182186990554,0.7049591620763143,0.013,0.0061393442477231,48.5,48.5,9.5,9.5,0.0063249001331558,0.0323765020026702,0.0130258009347571,0.0029308784802754,0,2
8,delta_stats,siamese,0.5056666666666667,0.5033466726163068,564.0,934.0,549.0,953.0,0.6344873501997337,0.3765020026702269,0.5054946764349804,0.7090198415915172,0.0086666666666666,0.0071653460717263,121.0,121.0,147.0,147.0,0.0978695073235685,0.0807743658210947,0.0085475707512368,0.0036991668542226,0,2
8,joint,cnn,0.4973333333333333,0.4994133322903685,1170.0,328.0,1180.0,322.0,0.2143808255659121,0.7810413885180241,0.4977111070419681,0.6956847343444825,0.002,0.0005866677096315,328.0,328.0,322.0,322.0,0.2143808255659121,0.2189586114819759,0.0022888929580319,0.0024975256919861,0,2
8,joint,mlp,0.4941666666666666,0.4964491047984086,770.0,728.0,789.5,712.5,0.4743675099866844,0.514018691588785,0.4941931007877347,0.7503328111966452,0.0011666666666666,0.0010460018595588,52.0,52.0,48.5,48.5,0.0322902796271638,0.034712950600801,0.0012113354868186,0.022530240535736,0,2
8,joint,siamese,0.4938333333333333,0.4935677663426957,701.0,797.0,721.5,780.5,0.5196404793608522,0.4679572763684913,0.4937988778646717,0.7739981818199158,0.0048333333333333,0.0077780138275801,40.0,40.0,25.5,25.5,0.0169773635153129,0.0267022696929238,0.0048624530888054,0.0372082548141479,0,2
