rounds,representation,model,train_seed,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss
8,joint,cnn,2027,0.4993333333333333,0.5,1498,0,1502,0,0.0,1.0,0.5,0.6931872086524964
3,concat,mlp,1337,0.848,0.9029602551139456,1326,169,287,1218,0.8093023255813954,0.8869565217391304,0.8481294236602629,0.393672226746877
3,concat,mlp,2027,0.8626666666666667,0.9101843353815042,1347,148,264,1241,0.8245847176079735,0.9010033444816054,0.8627940310447895,0.3999517228603363
4,concat,mlp,1337,0.6626666666666666,0.7060549318629605,1020,487,525,968,0.6483590087073008,0.6768414067684141,0.6626002077378574,0.6752069657643636
4,concat,mlp,2027,0.6476666666666666,0.7040815555538764,968,539,518,975,0.6530475552578701,0.6423357664233577,0.6476916608406138,0.6667613190015157
5,concat,mlp,1337,0.4986666666666666,0.4980575132525108,722,771,733,774,0.5136031851360319,0.4835900870730074,0.4985966361045196,0.7126563399632772
5,concat,mlp,2027,0.495,0.4940552038688842,736,757,758,749,0.4970139349701393,0.492967180174146,0.4949905575721427,0.7343909389177958
6,concat,mlp,1337,0.529,0.5267363753387052,682,802,611,905,0.5969656992084432,0.4595687331536388,0.528267216181041,0.7124592549006145
6,concat,mlp,2027,0.5023333333333333,0.5076693170422946,728,756,737,779,0.5138522427440633,0.490566037735849,0.5022091402399562,0.7136043108304342
7,concat,mlp,1337,0.5056666666666667,0.4942061933672405,677,846,637,840,0.5687203791469194,0.4445173998686802,0.5066188895077999,0.7140306259791056
7,concat,mlp,2027,0.514,0.5086915990470648,768,755,703,774,0.5240352064996615,0.5042678923177938,0.5141515494087276,0.7066171153386434
8,concat,mlp,1337,0.4933333333333333,0.4918279854719741,730,768,752,750,0.4993342210386152,0.4873164218958611,0.4933253214672382,0.7318977568944295
8,concat,mlp,2027,0.4923333333333333,0.492300208533704,699,799,724,778,0.5179760319573902,0.4666221628838451,0.4922990974206176,0.7417177015940348
3,delta,mlp,1337,0.9523333333333334,0.9871420793564372,1437,58,85,1420,0.9435215946843852,0.9612040133779264,0.9523628040311558,0.1487439144849777
3,delta,mlp,2027,0.951,0.986300736674852,1438,57,90,1415,0.9401993355481728,0.9618729096989966,0.9510361226235848,0.1417322324911753
4,delta,mlp,1337,0.7916666666666666,0.854495942356078,1326,181,444,1049,0.7026121902210315,0.8798938287989383,0.7912530095099849,0.4554059419631958
4,delta,mlp,2027,0.796,0.8568924389908936,1347,160,452,1041,0.6972538513060951,0.893828798938288,0.7955413251221916,0.4518888724644979
5,delta,mlp,1337,0.6126666666666667,0.6395490390679619,946,547,615,892,0.5919044459190445,0.6336235766912257,0.6127640113051351,0.6715745657285055
